Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
287,-4.55E-04,-3.94E-05,3.49E-03,4.67E+00
288,8.77E-04,-8.31E-04,-3.30E-03,1.24E+00
289,6.76E-04,-7.67E-04,-3.37E-03,4.20E+00
290,6.76E-04,7.93E-04,-3.37E-03,3.97E+00
291,8.85E-04,8.51E-04,-3.30E-03,1.17E+00
292,8.12E-04,6.51E-04,-3.37E-03,4.08E+00
293,1.37E-03,3.26E-03,-2.83E-05,6.09E-01
294,1.43E-03,3.23E-03,9.66E-05,6.09E-01
295,1.52E-03,3.19E-03,4.22E-06,6.15E-01
296,9.85E-04,3.10E-03,-1.37E-03,7.74E-01
297,-9.40E-04,-2.70E-03,2.03E-03,8.49E+00
298,-1.08E-03,-2.70E-03,1.96E-03,9.70E+00
299,-9.70E-04,-2.78E-03,1.91E-03,8.98E+00
300,-3.25E-03,1.33E-03,3.57E-04,3.43E+00
301,-3.24E-03,1.27E-03,5.72E-04,4.00E+00
302,-3.18E-03,1.45E-03,4.90E-04,4.04E+00
303,9.29E-04,3.03E-03,-1.57E-03,7.48E-01
304,7.90E-04,3.11E-03,-1.48E-03,7.85E-01
305,-2.95E-03,-1.35E-03,1.35E-03,6.19E+00
306,-3.06E-03,-1.21E-03,1.24E-03,5.61E+00
307,-3.00E-03,-1.38E-03,1.21E-03,6.35E+00
308,-6.95E-04,-6.90E-04,3.38E-03,1.24E+01
309,-2.78E-03,1.41E-03,1.65E-03,6.55E+00
310,-2.70E-03,1.59E-03,1.62E-03,7.62E+00
311,-2.83E-03,1.50E-03,1.48E-03,6.80E+00
312,1.69E-03,3.04E-03,-6.29E-04,6.51E-01
313,1.69E-03,3.00E-03,-8.07E-04,6.57E-01
314,-5.99E-04,8.54E-04,-3.37E-03,4.04E+00
315,-6.03E-04,1.07E-03,-3.30E-03,9.96E-01
316,-4.29E-04,9.52E-04,-3.37E-03,3.89E+00
317,-3.08E-03,-1.29E-03,1.09E-03,5.47E+00
318,-2.43E-04,-9.91E-04,-3.37E-03,3.85E+00
319,-3.80E-04,-1.10E-03,-3.32E-03,1.19E+00
320,5.16E-04,-8.81E-04,-3.37E-03,4.06E+00
321,5.03E-04,-1.09E-03,-3.31E-03,1.21E+00
322,3.38E-04,-9.63E-04,-3.37E-03,4.18E+00
323,-1.15E-03,-6.92E-04,-3.25E-03,8.65E-01
324,1.87E-03,-2.77E-03,-1.06E-03,6.30E-01
325,1.54E-03,2.82E-03,-1.47E-03,6.39E-01
326,1.15E-03,2.23E-04,-3.32E-03,1.29E+00
327,1.03E-03,1.11E-04,-3.37E-03,4.24E+00
328,1.03E-03,-8.53E-05,-3.37E-03,3.93E+00
329,1.15E-03,-2.09E-04,-3.32E-03,1.31E+00
330,9.91E-04,-2.78E-04,-3.37E-03,3.60E+00
331,1.29E-03,-3.01E-03,-1.25E-03,6.79E-01
332,-3.57E-04,-7.87E-04,3.41E-03,9.91E+00
333,-4.91E-04,-9.00E-04,3.37E-03,1.19E+01
334,-3.44E-04,-9.36E-04,3.37E-03,1.12E+01
335,6.99E-04,-9.86E-04,-3.30E-03,1.20E+00
336,-1.13E-03,-7.56E-05,3.33E-03,1.43E+01
337,-1.30E-03,-1.43E-04,3.27E-03,1.54E+01
338,-1.22E-03,-2.75E-04,3.29E-03,1.51E+01
339,-9.59E-04,3.97E-04,-3.37E-03,4.21E+00
340,-1.08E-03,5.68E-04,-3.31E-03,1.22E+00
341,3.38E-04,9.89E-04,-3.37E-03,3.90E+00
342,4.80E-04,1.08E-03,-3.32E-03,1.36E+00
343,5.16E-04,9.07E-04,-3.37E-03,4.09E+00
344,3.20E-03,-1.46E-03,1.37E-04,4.98E-01
345,1.48E-03,3.21E-03,-1.63E-04,6.19E-01
346,7.03E-04,3.02E-03,-1.69E-03,7.41E-01
347,-4.70E-04,3.30E-03,1.17E-03,5.23E+00
348,-6.05E-04,3.31E-03,1.08E-03,5.65E+00
349,-6.50E-04,3.25E-03,1.23E-03,6.76E+00
350,5.27E-04,-3.11E-03,-1.54E-03,7.26E-01
351,5.51E-04,-3.03E-03,-1.68E-03,7.02E-01
352,7.23E-04,-3.03E-03,-1.61E-03,6.99E-01
353,-3.23E-03,-1.39E-03,5.92E-05,2.58E+00
354,-3.16E-03,-1.53E-03,1.75E-04,3.06E+00
355,-3.21E-03,-1.41E-03,2.81E-04,3.34E+00
356,1.69E-03,-2.71E-03,-1.45E-03,6.19E-01
357,-2.15E-04,-6.81E-04,3.45E-03,7.94E+00
358,-3.59E-04,-6.42E-04,3.44E-03,8.19E+00
359,-9.31E-04,-1.09E-04,3.39E-03,1.21E+01
360,-1.05E-03,-2.84E-04,3.35E-03,1.40E+01
361,-9.13E-04,-3.11E-04,3.39E-03,1.29E+01
362,1.52E-03,3.19E-03,1.58E-04,6.28E-01
363,-8.81E-04,-6.69E-04,3.34E-03,1.39E+01
364,1.43E-03,2.70E-03,-1.78E-03,5.95E-01
365,9.02E-04,2.92E-03,-1.76E-03,6.96E-01
366,1.07E-03,-2.87E-03,-1.72E-03,6.63E-01
367,6.72E-04,-3.13E-03,-1.44E-03,7.27E-01
368,-4.51E-04,-5.25E-04,3.45E-03,7.66E+00
369,1.06E-03,3.26E-03,-8.59E-04,7.72E-01
370,-2.98E-03,-1.84E-03,-1.96E-04,1.68E+00
371,2.08E-03,-1.79E-03,2.20E-03,7.29E+00
372,2.14E-03,-1.61E-03,2.27E-03,8.30E+00
373,1.98E-03,-1.67E-03,2.38E-03,8.28E+00
374,1.41E-03,3.23E-03,2.11E-04,6.27E-01
375,-4.96E-04,-3.19E-03,1.37E-03,5.33E+00
376,-6.92E-04,-3.12E-03,1.46E-03,7.09E+00
377,-6.43E-04,-3.24E-03,1.19E-03,6.05E+00
378,2.28E-03,-2.26E-03,-1.43E-03,4.58E-01
379,1.58E-03,-2.96E-03,-1.04E-03,6.57E-01
380,8.62E-04,-2.90E-03,-1.77E-03,6.63E-01
381,1.54E-03,3.04E-03,-9.34E-04,6.98E-01
382,1.27E-03,3.26E-03,-4.87E-04,6.88E-01
383,9.77E-04,3.33E-03,-6.76E-04,7.56E-01
384,2.17E-03,1.67E-03,2.23E-03,7.50E+00
385,2.51E-03,2.11E-03,1.31E-03,2.29E+00
386,2.55E-03,1.96E-03,1.46E-03,2.82E+00
387,2.65E-03,1.97E-03,1.25E-03,1.70E+00
388,-1.29E-03,-5.93E-04,-3.22E-03,7.31E-01
389,-1.29E-03,-4.07E-04,-3.25E-03,7.81E-01
390,1.08E-03,3.32E-03,-5.39E-04,7.22E-01
391,-4.86E-04,-2.07E-04,3.48E-03,5.79E+00
392,-9.72E-04,-4.72E-04,3.35E-03,1.39E+01
393,-3.16E-03,1.39E-03,7.07E-04,4.63E+00
394,-2.15E-04,-1.46E-03,-3.19E-03,7.02E-01
395,-7.02E-05,-1.30E-03,-3.26E-03,9.39E-01
396,5.48E-05,-1.47E-03,-3.19E-03,8.15E-01
397,2.57E-04,-3.02E-03,-1.77E-03,6.88E-01
398,3.56E-04,-2.92E-03,-1.91E-03,6.47E-01
399,4.65E-04,-2.98E-03,-1.79E-03,6.75E-01
400,-1.30E-03,3.63E-05,3.27E-03,1.53E+01
401,1.53E-03,-3.03E-03,-8.89E-04,6.41E-01
402,2.01E-03,-2.60E-03,-1.22E-03,5.79E-01
403,1.41E-03,-3.12E-03,-7.57E-04,6.10E-01
404,1.60E-03,-3.05E-03,-6.91E-04,5.98E-01
405,1.50E-03,-3.13E-03,-5.35E-04,5.50E-01
406,-8.80E-04,3.21E-04,3.40E-03,1.22E+01
407,8.33E-04,-3.07E-03,-1.48E-03,7.11E-01
408,1.25E-03,-2.85E-03,-1.63E-03,6.60E-01
409,1.92E-03,2.58E-03,-1.46E-03,5.19E-01
410,-3.15E-03,-1.32E-03,8.42E-04,4.87E+00
411,-3.10E-03,-1.36E-03,9.60E-04,5.34E+00
412,2.17E-03,-2.21E-03,-1.66E-03,4.68E-01
413,3.11E-03,-1.63E-03,1.07E-04,2.63E-01
414,3.11E-03,-1.62E-03,2.98E-04,4.24E-01
415,-6.35E-04,2.76E-04,3.45E-03,8.39E+00
416,1.31E-03,3.28E-03,1.38E-04,6.14E-01
417,1.25E-03,-3.15E-03,-8.93E-04,6.49E-01
418,-1.47E-03,-3.00E-04,-3.19E-03,6.46E-01
