Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
349,-9.28E-04,0.00E+00,-7.71E-03,7.06E-03, null
350,-9.13E-04,0.00E+00,-7.71E-03,1.99E-02, null
351,-9.12E-04,9.09E-13,-7.98E-03,2.08E-02, null
352,-9.28E-04,9.09E-13,-8.00E-03,7.36E-03, null
353,-9.27E-04,0.00E+00,-8.29E-03,7.72E-03, null
354,-6.74E-04,0.00E+00,-8.12E-03,2.29E-01, null
355,-9.34E-04,0.00E+00,-8.30E-03,0.00E+00,4.90E+00
356,-6.77E-04,0.00E+00,-8.17E-03,2.18E-01, null
357,-9.35E-04,-1.09E-11,-8.60E-03,0.00E+00,5.37E+00
358,-9.29E-04,0.00E+00,-8.60E-03,5.03E-03, null
359,-8.82E-04,0.00E+00,-8.57E-03,4.69E-02, null
360,-8.14E-04,4.55E-13,-8.65E-03,1.10E-01, null
361,-6.55E-04,1.09E-11,-1.03E-02,2.68E-01, null
362,-4.50E-04,-3.64E-12,-1.04E-02,3.76E-01, null
363,-5.44E-04,7.28E-12,-1.02E-02,3.41E-01, null
364,-6.70E-04,3.64E-12,-1.01E-02,2.65E-01, null
365,-7.20E-04,1.82E-12,-1.09E-02,2.14E-01, null
366,-7.27E-04,0.00E+00,-1.09E-02,2.11E-01, null
367,-9.16E-04,3.64E-12,-1.10E-02,1.57E-02, null
368,-9.17E-04,0.00E+00,-1.10E-02,1.74E-02, null
369,-7.20E-04,5.46E-12,-1.07E-02,2.39E-01, null
370,-6.96E-04,0.00E+00,-1.07E-02,2.58E-01, null
371,-7.32E-04,0.00E+00,-1.06E-02,2.26E-01, null
372,-6.94E-04,1.82E-12,-1.09E-02,2.37E-01, null
373,-4.61E-04,0.00E+00,-1.09E-02,3.89E-01, null
374,-4.90E-04,0.00E+00,-1.10E-02,3.66E-01, null
375,-9.33E-04,-1.00E-11,-1.10E-02,0.00E+00,5.12E+00
376,-5.32E-04,0.00E+00,-1.06E-02,3.49E-01, null
377,-7.09E-04,0.00E+00,-1.06E-02,2.49E-01, null
378,-6.59E-04,-7.28E-12,-1.04E-02,2.66E-01, null
379,-9.23E-04,-8.19E-12,-9.20E-03,8.97E-03, null
380,-5.96E-04,1.82E-12,-8.74E-03,3.02E-01, null
381,-6.27E-04,0.00E+00,-8.20E-03,2.64E-01, null
382,-5.32E-04,0.00E+00,-8.09E-03,3.36E-01, null
383,-9.21E-04,-2.73E-12,-9.50E-03,1.21E-02, null
384,-9.16E-04,0.00E+00,-9.52E-03,1.78E-02, null
385,-9.15E-04,5.46E-12,-9.80E-03,1.89E-02, null
386,-9.34E-04,-1.00E-11,-1.01E-02,0.00E+00,5.36E+00
387,-9.11E-04,0.00E+00,-1.01E-02,2.34E-02, null
388,-9.13E-04,0.00E+00,-1.01E-02,2.00E-02, null
389,-6.54E-04,0.00E+00,-8.34E-03,2.47E-01, null
390,-6.88E-04,0.00E+00,-8.48E-03,2.11E-01, null
391,-6.51E-04,1.46E-11,-8.48E-03,2.43E-01, null
