Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
231,7.48E-04,1.20E-03,-2.07E-03,1.83E+00
232,1.29E-03,-2.02E-03,-6.82E-04,9.77E-01
233,1.41E-03,-1.98E-03,-5.33E-04,9.01E-01
234,1.31E-03,-1.94E-03,-8.64E-04,1.04E+00
235,-4.44E-04,1.32E-03,-2.09E-03,5.62E-01
236,-5.09E-04,1.18E-03,-2.16E-03,5.33E-01
237,-6.09E-04,1.24E-03,-2.09E-03,4.21E-01
238,-2.08E-03,1.31E-03,-5.20E-04,1.09E+00
239,-4.53E-04,1.48E-04,2.46E-03,1.90E+00
240,9.74E-04,2.13E-03,-9.09E-04,1.11E+00
241,1.44E-03,2.03E-03,-3.43E-04,8.07E-01
242,-3.35E-04,2.02E-04,2.47E-03,3.63E+00
243,-1.49E-03,1.29E-03,1.56E-03,9.76E+00
244,-2.06E-03,7.90E-04,1.19E-03,7.35E+00
245,-2.01E-03,9.78E-04,1.14E-03,7.63E+00
246,-2.50E-04,4.10E-04,2.46E-03,4.99E+00
247,-4.85E-04,2.79E-04,2.44E-03,2.26E+00
248,-9.40E-04,1.51E-05,-2.32E-03,2.51E+00
249,-1.09E-03,1.30E-04,-2.25E-03,7.60E-01
250,-9.19E-04,2.10E-04,-2.32E-03,2.65E+00
251,1.13E-03,2.23E-03,-3.06E-04,7.96E-01
252,1.55E-03,-1.86E-03,-5.99E-04,9.22E-01
253,-1.04E-03,3.54E-04,-2.25E-03,6.53E-01
254,7.54E-04,2.23E-03,-8.82E-04,1.15E+00
255,-6.24E-04,-1.84E-03,1.56E-03,6.99E+00
256,-1.14E-03,1.70E-03,1.46E-03,1.03E+01
257,-9.70E-04,1.69E-03,1.59E-03,8.48E+00
258,-9.93E-04,1.82E-03,1.42E-03,8.28E+00
259,-3.73E-04,2.49E-03,-1.22E-04,2.45E+00
260,-5.24E-04,2.46E-03,-1.09E-04,3.21E+00
261,-4.60E-04,2.47E-03,3.44E-05,3.19E+00
262,-1.45E-04,2.71E-04,2.49E-03,6.21E+00
263,-1.37E-04,4.69E-04,2.46E-03,6.69E+00
264,1.21E-03,2.20E-03,-1.87E-04,7.19E-01
265,1.11E-03,-2.17E-03,-5.15E-04,9.09E-01
266,1.02E-03,-2.17E-03,-6.80E-04,1.01E+00
267,2.47E-03,-3.41E-04,-1.45E-04,1.57E+00
268,-1.00E-03,7.43E-04,-2.17E-03,6.49E-01
269,-3.33E-04,1.21E-03,-2.17E-03,6.31E-01
270,-3.01E-05,3.76E-04,2.48E-03,7.42E+00
271,-1.93E-03,9.07E-04,1.31E-03,8.38E+00
272,1.48E-03,1.55E-04,2.02E-03,6.20E+00
273,8.84E-04,-2.26E-03,-5.37E-04,9.56E-01
274,-8.00E-04,1.83E-03,1.52E-03,7.68E+00
275,-1.15E-03,1.56E-03,1.60E-03,1.03E+01
276,1.50E-03,3.85E-04,1.97E-03,5.97E+00
277,1.04E-03,3.54E-04,-2.25E-03,1.25E+00
278,6.29E-04,7.14E-04,-2.32E-03,2.65E+00
279,8.14E-04,7.48E-04,-2.25E-03,1.83E+00
280,-9.19E-04,-1.80E-04,-2.32E-03,2.71E+00
281,-1.09E-03,-9.95E-05,-2.25E-03,6.84E-01
282,-2.28E-04,1.09E-03,-2.25E-03,7.93E-01
283,-9.83E-05,9.50E-04,-2.32E-03,3.57E+00
284,2.90E-04,9.09E-04,-2.32E-03,3.19E+00
285,4.46E-04,1.02E-03,-2.25E-03,1.77E+00
286,4.70E-04,8.29E-04,-2.32E-03,2.98E+00
287,-1.31E-04,-3.74E-04,2.47E-03,6.62E+00
288,2.06E-05,-4.54E-04,2.46E-03,8.55E+00
