Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
394,-1.84E-03,-2.01E-03,7.61E-04,1.60E+00
395,-1.73E-03,-2.13E-03,6.84E-04,1.54E+00
396,-1.71E-03,-2.19E-03,4.96E-04,1.12E+00
397,-1.81E-03,-2.15E-03,3.43E-04,8.87E-01
398,-1.66E-03,-2.26E-03,3.15E-04,8.71E-01
399,-1.66E-03,-2.03E-03,1.06E-03,2.02E+00
400,-1.80E-03,-1.95E-03,9.68E-04,1.88E+00
401,6.89E-04,-2.50E-03,1.12E-03,1.40E+00
402,8.05E-04,-2.41E-03,1.24E-03,1.66E+00
403,6.26E-04,-2.43E-03,1.30E-03,2.09E+00
404,6.89E-04,-2.68E-03,5.56E-04,1.47E+00
405,8.67E-04,-2.62E-03,6.11E-04,1.03E+00
406,7.21E-04,-2.63E-03,7.45E-04,1.31E+00
407,-1.74E-03,-2.22E-03,1.48E-04,6.76E-01
408,-1.58E-03,-2.34E-03,1.47E-04,6.98E-01
409,7.16E-04,-2.33E-03,1.43E-03,2.17E+00
410,5.33E-04,-2.36E-03,1.46E-03,2.45E+00
411,6.26E-04,-2.73E-03,3.74E-04,1.99E+00
412,8.06E-04,-2.68E-03,4.07E-04,1.37E+00
413,-6.46E-04,-2.72E-03,-4.03E-04,2.11E+00
414,-5.41E-04,-2.72E-03,-5.52E-04,2.11E+00
415,-4.51E-04,-2.76E-03,-3.98E-04,2.15E+00
416,6.06E-04,-2.25E-03,1.60E-03,2.32E+00
417,4.13E-04,-2.29E-03,1.60E-03,2.37E+00
418,4.71E-04,-2.16E-03,1.76E-03,2.46E+00
419,2.70E-04,-2.22E-03,1.72E-03,2.62E+00
420,3.00E-04,-2.08E-03,1.89E-03,2.60E+00
421,1.07E-04,-2.16E-03,1.82E-03,3.20E+00
422,2.70E-04,-2.81E-03,-9.38E-05,2.36E+00
423,4.82E-04,-2.78E-03,-1.67E-04,1.87E+00
424,4.13E-04,-2.79E-03,4.42E-05,2.32E+00
425,-1.48E-03,-2.41E-03,-4.96E-06,8.29E-01
426,-1.52E-03,-2.37E-03,-2.26E-04,8.20E-01
427,-1.34E-03,-2.48E-03,-1.36E-04,9.72E-01
428,-1.02E-03,-2.61E-03,-3.25E-04,1.63E+00
429,-9.62E-04,-2.60E-03,-5.16E-04,1.74E+00
430,-8.38E-04,-2.67E-03,-3.78E-04,1.94E+00
431,1.00E-04,-2.01E-03,1.98E-03,2.60E+00
432,-7.13E-05,-2.10E-03,1.89E-03,3.27E+00
433,-1.35E-03,-2.45E-03,-3.63E-04,1.10E+00
434,-1.19E-03,-2.55E-03,-2.44E-04,1.26E+00
435,8.87E-04,-2.55E-03,8.25E-04,8.33E-01
436,7.22E-04,-2.57E-03,9.35E-04,1.14E+00
437,-1.31E-04,-1.97E-03,2.02E-03,2.73E+00
438,-2.60E-04,-2.05E-03,1.93E-03,3.39E+00
439,-3.37E-04,-1.93E-03,2.04E-03,3.24E+00
440,-4.54E-04,-2.01E-03,1.94E-03,3.78E+00
441,-5.48E-04,-1.89E-03,2.03E-03,3.13E+00
442,-6.49E-04,-1.98E-03,1.91E-03,3.08E+00
443,-3.26E-04,-2.75E-03,-5.33E-04,2.15E+00
444,-2.57E-04,-2.79E-03,-3.63E-04,2.33E+00
445,-1.02E-03,-1.94E-03,1.79E-03,3.17E+00
446,-1.16E-03,-1.81E-03,1.83E-03,2.90E+00
447,-1.19E-03,-1.93E-03,1.68E-03,2.78E+00
448,-8.41E-04,-1.95E-03,1.87E-03,2.98E+00
